LIMIT_BAL,AGE,PAY_AMT1,EDUCATION,MARRIAGE,Default,SHAP_LIMIT_BAL,SHAP+_LIMIT_BAL,Q-SHAP+_LIMIT_BAL,SHAP_AGE,SHAP+_AGE,Q-SHAP+_AGE,SHAP_PAY_AMT1,SHAP+_PAY_AMT1,Q-SHAP+_PAY_AMT1,SHAP_EDUCATION,SHAP+_EDUCATION,Q-SHAP+_EDUCATION,SHAP_MARRIAGE,SHAP+_MARRIAGE,Q-SHAP+_MARRIAGE
0,0,1,1,0,1,0.35794532,-0.203904390335083,-0.08123299945739265,-0.043553457,0.024683594703674316,-0.07684904991932084,-0.2428106,-0.10454809665679932,0.09997420291866554,-0.015351281,-0.03945118188858032,0.23732813990400603,0.07285486,-0.03603684902191162,0.1335348599842739
0,0,0,1,1,0,0.34251383,-0.20133733749389648,-0.08853429891690695,-0.0017243875,-0.025700747966766357,-0.08661888712622756,0.2166711,-0.14204806089401245,0.11028428510861388,0.04710091,0.06255340576171875,0.24158963950938306,-0.03651224,0.0014631152153015137,0.12322477779432556
1,0,0,1,0,0,-0.43969637,-0.21084758639335632,-0.03115422802276091,-0.06691849,0.03802916407585144,0.07980934304300269,0.22494037,-0.097604900598526,0.0498954314840338,-0.041895837,-0.03931531310081482,0.045426217145664916,0.025155049,0.010973364114761353,0.06584470690017952
0,0,1,1,1,0,0.34716794,-0.17434194684028625,-0.12316650029526416,-0.029091325,0.014946579933166504,-0.1329600859031737,-0.28187695,-0.14204806089401245,0.11028428510861388,0.015135426,0.005389094352722168,0.26180318003399333,-0.066594265,-0.03603684902191162,0.1335348599842739
1,0,0,0,0,0,-0.3597632,-0.1317915916442871,0.10770086633109927,-0.086465344,0.06760859489440918,0.21635002498513367,0.24326333,-0.11341333389282227,-0.023124806536813203,0.014070957,-0.03931531310081482,0.045426217145664916,0.049640525,-0.017462998628616333,-0.017821611468127996
1,0,1,0,1,0,-0.42656276,-0.18983954191207886,-0.04095333235839921,-0.041152317,0.016427308320999146,0.0829478182027708,-0.26887766,-0.14681831002235413,0.025154607147100716,-0.01653052,0.02088668942451477,0.17959001209712838,-0.08884992,-0.05086797475814819,0.030457802215785923
0,1,1,1,0,1,0.34641078,-0.1940808892250061,0.015815604412418804,0.024557743,0.024683594703674316,-0.07684904991932084,-0.23078296,-0.08722341060638428,0.03695819989975263,0.010919802,0.01249074935913086,0.08773484139247967,0.077562936,-0.045773863792419434,0.07742382400042103
0,1,1,0,1,1,0.3510205,-0.20849385857582092,0.06494548754807461,0.049349874,0.03508162498474121,-0.02295100170370301,-0.24543235,-0.10076755285263062,0.011037582244094513,0.0029755803,-0.014745950698852539,0.15179409583452264,-0.054298706,-0.018537163734436035,0.013364569558378059
1,0,1,0,1,0,-0.42656276,-0.18983954191207886,-0.04095333235839921,-0.041152317,0.016427308320999146,0.0829478182027708,-0.26887766,-0.14681831002235413,0.025154607147100716,-0.01653052,0.02088668942451477,0.17959001209712838,-0.08884992,-0.05086797475814819,0.030457802215785923
0,1,1,1,0,0,0.34641078,-0.1940808892250061,0.015815604412418804,0.024557743,0.024683594703674316,-0.07684904991932084,-0.23078296,-0.08722341060638428,0.03695819989975263,0.010919802,0.01249074935913086,0.08773484139247967,0.077562936,-0.045773863792419434,0.07742382400042103
0,0,1,1,1,0,0.34716794,-0.17434194684028625,-0.12316650029526416,-0.029091325,0.014946579933166504,-0.1329600859031737,-0.28187695,-0.14204806089401245,0.11028428510861388,0.015135426,0.005389094352722168,0.26180318003399333,-0.066594265,-0.03603684902191162,0.1335348599842739
0,0,0,1,0,0,0.3418691,-0.21084758639335632,-0.03115422802276091,-0.035060804,0.007358908653259277,-0.01383304690040793,0.18829322,-0.10454809665679932,0.09997420291866554,0.031115409,0.039740681648254395,0.1842813114995251,0.035492636,0.0014631152153015137,0.12322477779432556
1,1,1,1,0,0,-0.435166,-0.1940808892250061,0.015815604412418804,0.029653018,0.03450709581375122,0.020199553950490612,-0.23114714,-0.10112696886062622,-0.009714357608478275,-0.010916825,0.00478208065032959,-0.023060853242892088,0.0847859,-0.060062021017074585,0.026276728107837877
1,1,1,1,0,1,-0.435166,-0.1940808892250061,0.015815604412418804,0.029653018,0.03450709581375122,0.020199553950490612,-0.23114714,-0.10112696886062622,-0.009714357608478275,-0.010916825,0.00478208065032959,-0.023060853242892088,0.0847859,-0.060062021017074585,0.026276728107837877
